Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Wojciech Szczęsny\01b8a2b2,pl POL,GK,it Juventus,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Adel Taarabt\47dc80f5,ma MAR,MFFW,pt Benfica,166,0,0,0.00,0.00,0.0,0.0,0.00,0.02
Nicolás Tagliafico\f0661424,ar ARG,DF,nl Ajax,139,0,1,0.00,0.65,0.0,1.0,0.03,0.65
Ciprian Tătărușanu\b056e3da,ro ROU,GK,it Milan,270,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Kenneth Taylor\ad9b2747,nl NED,MF,nl Ajax,41,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Alex Teixeira\ae530c73,br BRA,MF,tr Beşiktaş,182,0,0,0.00,0.00,0.2,0.2,0.10,0.09
Marc-André ter Stegen\6f51e382,de GER,GK,es Barcelona,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Tetê\7120a04d,br BRA,FWMF,ua Shakhtar,372,0,0,0.00,0.00,1.0,0.5,0.24,0.12
Steffen Tigges\6b8887c2,de GER,FW,de Dortmund,99,0,0,0.00,0.00,0.1,0.0,0.08,0.00
Malik Tillman\a5420709,de GER,MFFW,de Bayern Munich,20,0,0,0.00,0.00,0.0,0.3,0.00,1.51
Jurrien Timber\41034650,nl NED,DF,nl Ajax,483,0,0,0.00,0.00,0.1,0.0,0.02,0.00
Corentin Tolisso\652d4c37,fr FRA,MF,de Bayern Munich,233,0,1,0.00,0.39,0.1,0.1,0.06,0.05
Rafael Tolói\c56dc39e,it ITA,DF,it Atalanta,360,0,0,0.00,0.00,0.9,1.3,0.22,0.31
Tiago Tomás\b492126a,pt POR,FWMF,pt Sporting CP,163,0,0,0.00,0.00,0.4,0.0,0.25,0.00
Sandro Tonali\0db169ae,it ITA,MF,it Milan,331,0,0,0.00,0.00,0.1,0.0,0.02,0.01
Mehmet Topal\f93c876b,tr TUR,MFDF,tr Beşiktaş,260,0,0,0.00,0.00,0.2,0.0,0.08,0.00
Gökhan Töre\51960957,tr TUR,MFFW,tr Beşiktaş,78,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ferrán Torres\9e1035f8,es ESP,FW,eng Manchester City,70,0,0,0.00,0.00,0.2,0.1,0.28,0.12
Óliver Torres\58a9a4d9,es ESP,MF,es Sevilla,168,0,0,0.00,0.00,0.0,0.1,0.02,0.06
Pau Torres\532e1e4f,es ESP,DF,es Villarreal,630,0,0,0.00,0.00,0.2,0.5,0.03,0.07
Kieran Trippier\21512407,eng ENG,DF,es Atlético Madrid,219,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Anatolii Trubin\41f0b196,ua UKR,GK,ua Shakhtar,270,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Kostas Tsimikas\f315ca93,gr GRE,DF,eng Liverpool,242,0,0,0.00,0.00,0.0,0.6,0.00,0.22
Viktor Tsyhankov\f7e87032,ua UKR,FWMF,ua Dynamo Kyiv,486,0,1,0.00,0.19,1.1,0.6,0.21,0.11
Oleksandr Tymchyk\3b996663,ua UKR,DF,ua Dynamo Kyiv,162,0,0,0.00,0.00,0.1,0.2,0.06,0.10
Salih Uçan\fe154b26,tr TUR,MF,tr Beşiktaş,113,0,0,0.00,0.00,0.0,0.1,0.00,0.09
Manuel Ugarte Ribeiro\c9817014,uy URU,MF,pt Sporting CP,116,0,0,0.00,0.00,0.0,0.0,0.00,0.02
Andreas Ulmer\1a799243,at AUT,DF,at RB Salzburg,625,0,0,0.00,0.00,0.1,0.1,0.01,0.01
Sven Ulreich\7d3e7da6,de GER,GK,de Bayern Munich,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Dayot Upamecano\d248cd8f,fr FRA,DF,de Bayern Munich,450,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Mateus Uribe\b997c3de,co COL,MF,pt Porto,286,0,0,0.00,0.00,0.1,0.0,0.03,0.01
Necip Uysal\2f7af524,tr TUR,DF,tr Beşiktaş,190,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Jesús Vallejo\c2111b45,es ESP,DF,es Real Madrid,4,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Federico Valverde\0959c2a2,uy URU,MFDF,es Real Madrid,215,0,0,0.00,0.00,0.2,0.2,0.07,0.09
Ignace Van Der Brempt\2bf50b37,be BEL,DFMF,be Club Brugge,165,0,0,0.00,0.00,0.0,0.2,0.00,0.11
Raphaël Varane\9f8e9423,fr FRA,DF,eng Manchester Utd,262,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Berkay Vardar\708d068c,az AZE,DF,tr Beşiktaş,18,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Lucas Vázquez\fd51b456,es ESP,FWDF,es Real Madrid,289,0,0,0.00,0.00,0.0,0.8,0.00,0.24
Matías Vecino\44ac04e9,uy URU,MF,it Inter,118,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Benjamin Verbič\2ebc1b44,si SVN,MFFW,ua Dynamo Kyiv,92,0,0,0.00,0.00,0.2,0.0,0.21,0.01
Lucas Veríssimo\5eaf85b5,br BRA,DF,pt Benfica,270,0,0,0.00,0.00,0.1,0.2,0.03,0.07
Marco Verratti\1467af0d,it ITA,MF,fr Paris S-G,340,0,0,0.00,0.00,0.1,0.5,0.02,0.14
Jan Vertonghen\ba23a904,be BEL,DF,pt Benfica,630,0,1,0.00,0.14,0.3,0.0,0.04,0.00
Domagoj Vida\3f359b33,hr CRO,DF,tr Beşiktaş,180,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Fabio Vieira\6412cc03,pt POR,MFDF,pt Porto,87,0,1,0.00,1.03,0.0,0.2,0.04,0.18
Rúben Vinagre\b937e490,pt POR,DF,pt Sporting CP,64,0,0,0.00,0.00,0.0,0.0,0.00,0.00
João Virgínia\728e9b2e,pt POR,GK,pt Sporting CP,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Vitão\d4f034db,br BRA,DF,ua Shakhtar,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Vitinha\3b029691,pt POR,MF,pt Porto,223,0,0,0.00,0.00,0.2,0.0,0.09,0.00
Vitinho\06d4b2e4,br BRA,FWMF,ua Dynamo Kyiv,95,0,0,0.00,0.00,0.0,0.0,0.04,0.00
Odisseas Vlachodimos\03df04ff,gr GRE,GK,pt Benfica,630,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ruud Vormer\c24544c7,nl NED,MF,be Club Brugge,159,0,1,0.00,0.57,0.1,0.4,0.03,0.24
Aster Vranckx\f86cd5df,be BEL,MFFW,de Wolfsburg,335,0,0,0.00,0.00,0.0,0.1,0.00,0.02
Šime Vrsaljko\46a8347f,hr CRO,DF,es Atlético Madrid,216,0,0,0.00,0.00,0.4,0.0,0.15,0.00
Luca Waldschmidt\e5a35ae9,de GER,MFFW,de Wolfsburg,120,0,0,0.00,0.00,0.0,0.0,0.04,0.02
Aaron Wan-Bissaka\9e525177,eng ENG,DFFW,eng Manchester Utd,419,0,0,0.00,0.00,0.1,0.0,0.02,0.00
Timothy Weah\8eec784d,us USA,MFFW,fr Lille,221,0,0,0.00,0.00,0.1,0.0,0.04,0.00
Wout Weghorst\c4e87b8b,nl NED,FW,de Wolfsburg,396,0,0,0.00,0.00,1.5,0.2,0.33,0.04
Julian Weigl\346d51d9,de GER,MF,pt Benfica,540,0,0,0.00,0.00,0.0,0.6,0.00,0.10
Welinton\292f1130,br BRA,DF,tr Beşiktaş,312,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Wendell\f9acca3a,br BRA,DF,pt Porto,132,0,0,0.00,0.00,0.1,0.0,0.05,0.03
Neco Williams\dd323728,wls WAL,DFFW,eng Liverpool,180,0,0,0.00,0.00,0.1,0.1,0.05,0.06
Axel Witsel\5dfc6ad5,be BEL,MF,de Dortmund,470,0,0,0.00,0.00,0.1,0.4,0.01,0.08
Marius Wolf\fa661778,de GER,DFFW,de Dortmund,172,0,0,0.00,0.00,0.1,0.3,0.04,0.16
Max Woltman\0e5b695f,eng ENG,FW,eng Liverpool,1,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Xeka\f3600c02,pt POR,MF,fr Lille,345,0,0,0.00,0.00,0.1,0.3,0.01,0.07
Yusuf Yazıcı\f5c8b425,tr TUR,FWMF,fr Lille,51,0,0,0.00,0.00,0.1,0.1,0.19,0.14
Rıdvan Yılmaz\94721522,tr TUR,DFMF,tr Beşiktaş,135,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Illia Zabarnyi\88968486,ua UKR,DF,ua Dynamo Kyiv,540,0,0,0.00,0.00,0.3,0.0,0.06,0.00
Dan-Axel Zagadou\a4effc55,fr FRA,DF,de Dortmund,97,0,0,0.00,0.00,0.1,0.0,0.08,0.00
Denis Zakaria\384d58d9,ch SUI,MF,it Juventus,10,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Davide Zappacosta\7fe90ccd,it ITA,DF,it Atalanta,404,0,1,0.00,0.22,0.3,0.7,0.07,0.16
Cedric Zesiger\2bab583c,ch SUI,DF,ch Young Boys,1,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Edon Zhegrova\34a88e3e,xk KVX,FW,fr Lille,10,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Oleksandr Zinchenko\51cf8561,ua UKR,DFMF,eng Manchester City,274,0,1,0.00,0.33,0.3,0.7,0.10,0.22
