Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Vincent Sierro\92ffb8f9,ch SUI,MF,ch Young Boys,240,1,0,0.37,0.00,0.3,0.4,0.10,0.14
Rafa Silva\70cf63ca,pt POR,FWMF,pt Benfica,521,1,0,0.17,0.00,1.2,1.4,0.21,0.25
Milan Škriniar\30f5ffa9,sk SVK,DF,it Inter,630,1,0,0.14,0.00,1.8,0.0,0.25,0.01
Luis Suárez\a6154613,uy URU,FW,es Atlético Madrid,337,1,0,0.27,0.00,1.8,0.2,0.48,0.05
Luka Sučić\1e1378e1,hr CRO,MF,at RB Salzburg,468,1,0,0.19,0.00,2.0,0.4,0.39,0.07
Aleksei Sutormin\bd20f4eb,ru RUS,DF,ru Zenit,293,1,0,0.31,0.00,0.1,0.0,0.03,0.01
Bruno Tabata\2e0f6a18,br BRA,FW,pt Sporting CP,113,1,1,0.80,0.80,0.3,0.7,0.27,0.52
Mehdi Taremi\4c2a5d34,ir IRN,FW,pt Porto,490,1,1,0.18,0.18,2.6,0.1,0.48,0.02
Alex Telles\e73c9bb2,br BRA,DF,eng Manchester Utd,202,1,0,0.45,0.00,0.0,0.1,0.01,0.06
Fikayo Tomori\7edfbb8a,eng ENG,DF,it Milan,417,1,0,0.22,0.00,0.5,0.0,0.11,0.00
Manu Trigueros\963829d0,es ESP,MFFW,es Villarreal,236,1,0,0.38,0.00,0.9,0.7,0.33,0.25
Arturo Vidal\67cdbc0e,cl CHI,MF,it Inter,320,1,2,0.28,0.56,0.5,0.8,0.15,0.24
Dušan Vlahović\79443529,rs SRB,FW,it Juventus,90,1,0,1.00,0.00,0.1,0.1,0.10,0.06
Stefan de Vrij\d0d8dd44,nl NED,DF,it Inter,440,1,0,0.20,0.00,0.6,0.0,0.11,0.01
Kyle Walker\86dd77d1,eng ENG,DF,eng Manchester City,431,1,0,0.21,0.00,0.2,0.2,0.04,0.04
Wendel\33b11df6,br BRA,MF,ru Zenit,481,1,0,0.19,0.00,0.5,0.3,0.09,0.06
Maximilian Wöber\4b803b3c,at AUT,DF,at RB Salzburg,481,1,0,0.19,0.00,0.6,0.0,0.11,0.00
Momo Yansané\683a8f5f,gn GUI,FW,md Sheriff Tiraspol,157,1,0,0.57,0.00,0.3,0.1,0.18,0.07
Jasur Yaxshiboyev\8fb94908,uz UZB,FW,md Sheriff Tiraspol,202,1,0,0.45,0.00,0.3,0.0,0.14,0.00
Hakim Ziyech\6622454d,ma MAR,FWMF,eng Chelsea,371,1,2,0.24,0.49,1.6,1.4,0.40,0.35
Brenden Aaronson\5bc43860,us USA,MF,at RB Salzburg,624,0,1,0.00,0.14,0.6,0.8,0.09,0.11
Malik Abubakari\47aaf574,gh GHA,FW,se Malmö,119,0,0,0.00,0.00,0.1,0.0,0.07,0.02
Marcos Acuña\81442ecb,ar ARG,DF,es Sevilla,378,0,0,0.00,0.00,0.0,0.6,0.00,0.14
Tyler Adams\2b09d998,us USA,MF,de RB Leipzig,293,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Antonio Adán\65d62814,es ESP,GK,pt Sporting CP,540,0,0,0.00,0.00,0.0,0.1,0.00,0.02
Edmund Addo\6af56975,gh GHA,MF,md Sheriff Tiraspol,488,0,0,0.00,0.00,0.0,0.3,0.00,0.05
Michel Aebischer\f9c927de,ch SUI,MF,ch Young Boys,502,0,1,0.00,0.18,0.3,0.8,0.05,0.15
Sergio Agüero\4d034881,ar ARG,FW,es Barcelona,16,0,0,0.00,0.00,0.0,0.0,0.12,0.00
Anel Ahmedhodzic\eab957a3,ba BIH,DF,se Malmö,412,0,0,0.00,0.00,0.0,0.1,0.00,0.01
Manuel Akanji\89ac64a6,ch SUI,DF,de Dortmund,450,0,0,0.00,0.00,0.0,0.1,0.01,0.02
